"Page","Name","HT","WT","Type","Strength","Attack 1","Attack 2","Attack 3","Attack 4","Bio","Comments"
"001","BULBASAUR","0.7M","6.8KG","SEED",4,"TACKLE","GROWL","LEECH SEED","VINE WHIP","A STRANGE SEED WAS PLANTED ON ITS BACK AT BIRTH. THE PLANT SPROUTS AND GROWS WITH THIS POKEMON.","Bio: 'POKéMON' → 'POKEMON'."
"002","IVYSAUR","1.0M","13.15KG","SEED",5,"LEECH SEED","VINE WHIP","POISONPOWDER","RAZOR LEAF","WHEN THE BULB ON ITS BACK GROWS LARGE, IT APPEARS TO LOSE THE ABILITY TO STAND ON ITS HIND LEGS.","-"
"003","VENUSAUR","2.0M","100.25KG","SEED",6,"RAZOR LEAF","GROWTH","SLEEP POWDER","SOLARBEAM","THE PLANT BLOOMS WHEN IT IS ABSORBING SOLAR ENERGY. IT STAYS ON THE MOVE TO SEEK SUNLIGHT.","-"
"004","CHARMANDER","0.6M","8.62KG","LIZARD",4,"SCRATCH","GROWL","EMBER","LEER","OBVIOUSLY PREFERS HOT PLACES. WHEN IT RAINS, STEAM IS SAID TO SPOUT FROM THE TIP OF ITS TAIL.","-"
"005","CHARMELEON","1.1M","19.05KG","FLAME",5,"EMBER","LEER","RAGE","SLASH","WHEN IT SWINGS ITS BURNING TAIL, IT ELEVATES THE TEMPERATURE TO UNBEARABLY HIGH LEVELS.","-"
"006","CHARIZARD","1.7M","90.72KG","FLAME",8,"RAGE","SLASH","FLAMETHROWER","FIRE SPIN","SPITS FIRE THAT IS HOT ENOUGH TO MELT BOULDERS. KNOWN TO CAUSE FOREST FIRES UNINTENTIONALLY.","-"
"007","SQUIRTLE","0.5M","9.07KG","TINYTURTLE",4,"TACKLE","TAIL WHIP","BUBBLE","WATER GUN","AFTER BIRTH, ITS BACK SWELLS AND HARDENS INTO A SHELL. POWERFULLY SPRAYS FOAM FROM ITS MOUTH.","-"
"008","WARTORTLE","1.0M","22.68KG","TURTLE",5,"BUBBLE","WATER GUN","WITHDRAW","BITE","OFTEN HIDES IN WATER TO STALK UNWARY PREY. FOR SWIMMING FAST, IT MOVES ITS EARS TO MAINTAIN BALANCE.","-"
"009","BLASTOISE","1.6M","85.73KG","SHELLFISH",9,"HYDRO PUMP","SKULL BASH","WITHDRAW","BITE","A BRUTAL POKEMON WITH PRESSURIZED WATER JETS ON ITS SHELL. THEY ARE USED FOR HIGH SPEED TACKLES.","Bio: 'POKéMON' → 'POKEMON'."
"010","CATERPIE","0.3M","2.72KG","WORM",4,"TACKLE","STRING SHOT","-","-","ITS SHORT FEET ARE TIPPED WITH SUCTION PADS THAT ENABLE IT TO TIRELESSLY CLIMB SLOPES AND WALLS.","Strength: higher than evolved form."
"011","METAPOD","0.7M","9.98KG","COCOON",3,"HARDEN","-","-","-","THIS POKEMON IS VULNERABLE TO ATTACK WHILE ITS SHELL IS SOFT, EXPOSING ITS WEAK AND TENDER BODY.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"012","BUTTERFREE","1.1M","32.21KG","BUTTERFLY",4,"CONFUSION","POISONPOWDER","STUN SPORE","SLEEP POWDER","IN BATTLE, IT FLAPS ITS WINGS AT HIGH SPEED TO RELEASE HIGHLY TOXIC DUST INTO THE AIR.","-"
"013","WEEDLE","0.3M","3.18KG","HAIRY BUG",2,"POISON STING","STRING SHOT","-","-","OFTEN FOUND IN FORESTS, EATING LEAVES. IT HAS A SHARP VENOMOUS STINGER ON ITS HEAD.","-"
"014","KAKUNA","0.6M","9.98KG","COCOON",2,"HARDEN","-","-","-","ALMOST INCAPABLE OF MOVING, THIS POKEMON CAN ONLY HARDEN ITS SHELL TO PROTECT ITSELF FROM PREDATORS.","Bio: 'POKéMON' → 'POKEMON'."
"015","BEEDRILL","1.0M","29.48KG","POISON BEE",6,"FURY ATTACK","FOCUS ENERGY","TWINEEDLE","RAGE","FLIES AT HIGH SPEED AND ATTACKS USING ITS LARGE VENOMOUS STINGERS ON ITS FORELEGS AND TAIL.","-"
"016","PIDGEY","0.3M","1.81KG","TINY BIRD",6,"GUST","SAND-ATTACK","QUICK ATTACK","WHIRLWIND","A COMMON SIGHT IN FORESTS AND WOODS. IT FLAPS ITS WINGS AT GROUND LEVEL TO KICK UP BLINDING SAND.","Strength: higher than evolved form."
"017","PIDGEOTTO","1.1M","29.94KG","BIRD",2,"QUICK ATTACK","WHIRLWIND","WING ATTACK","AGILITY","VERY PROTECTIVE OF ITS SPRAWLING TERRITORIAL AREA, THIS POKEMON WILL FIERCELY PECK AT ANY INTRUDER.","Bio: 'POKéMON' → 'POKEMON'. Strength: lower than unevolved form."
"018","PIDGEOT","1.5M","39.46KG","BIRD",7,"WHIRLWIND","WING ATTACK","AGILITY","MIRROR MOVE","WHEN HUNTING, IT SKIMS THE SURFACE OF WATER AT HIGH SPEED TO PICK OFF UNWARY PREY SUCH AS MAGIKARP.","-"
"019","RATTATA","0.3M","3.63KG","RAT",1,"TACKLE","TAIL WHIP","QUICK ATTACK","HYPER FANG","BITES ANYTHING WHEN IT ATTACKS. SMALL AND VERY QUICK, IT IS A COMMON SIGHT IN MANY PLACES.","-"
"020","RATICATE","0.7M","18.6KG","RAT",2,"QUICK ATTACK","HYPER FANG","FOCUS ENERGY","SUPER FANG","IT USES ITS WHISKERS TO MAINTAIN ITS BALANCE. IT APPARENTLY SLOWS DOWN IF THEY ARE CUT OFF.","-"
"021","SPEAROW","0.3M","1.81KG","TINY BIRD",5,"PECK","GROWL","LEER","FURY ATTACK","EATS BUGS IN GRASSY AREAS. SPEAROW HAS TO FLAP ITS SHORT WINGS AT HIGH SPEED TO STAY AIRBORNE.","Bio: 'It has' → 'SPEAROW HAS'."
"022","FEAROW","1.2M","38.1KG","BEAK",7,"FURY ATTACK","MIRROR MOVE","DRILL PECK","AGILITY","WITH ITS HUGE AND MAGNIFICENT WINGS IT CAN KEEP ALOFT WITHOUT EVER HAVING TO LAND FOR REST.","Bio: 'wings, it' → 'WINGS IT'."
"023","EKANS","2.0M","6.8KG","SNAKE",7,"WRAP","LEER","POISON STING","BITE","MOVES SILENTLY AND STEALTHILY. EATS THE EGGS OF BIRDS SUCH AS PIDGEY AND SPEAROW WHOLE.","Bio: 'birds, such as Pidgey and Spearow, whole.' → No commas."
"024","ARBOK","3.5M","64.86KG","COBRA",8,"BITE","GLARE","SCREECH","ACID","IT IS RUMORED THAT THE FEROCIOUS WARNING MARKINGS ON ITS BELLY DIFFER FROM AREA TO AREA.","-"
"025","PIKACHU","0.4M","5.9KG","MOUSE",9,"THUNDERSHOCK","GROWL","THUNDERWAVE","QUICK ATTACK","WHEN SEVERAL OF THESE POKÉMON GATHER, THEIR ELECTRICITY COULD BUILD AND CAUSE LIGHTNING STORMS.","Strength: higher than evolved form."
"026","RAICHU","0.8M","29.94KG","MOUSE",7,"THUNDERSHOCK","GROWL","THUNDERWAVE","-","ITS LONG TAIL SERVES AS A GROUND TO PROTECT ITSELF FROM ITS OWN HIGH VOLTAGE POWER.","Strength: lower than unevolved form."
"027","SANDSHREW","0.6M","11.79KG","MOUSE",7,"SCRATCH","SAND-ATTACK","SLASH","POISON STING","BURROWS DEEP UNDERGROUND IN ARID LOCATIONS FAR FROM WATER. IT ONLY EMERGES TO HUNT FOR FOOD.","-"
"028","SANDSLASH","1.0M","29.48KG","MOUSE",8,"SLASH","POISON STING","SWIFT","FURY SWIPES","CURLS UP INTO A SPINY BALL WHEN THREATENED. IT CAN ROLL WHILE CURLED UP TO ATTACK OR ESCAPE.","-"
"029","NIDORANS","0.4M","6.8KG","POISON PIN",7,"GROWL","TACKLE","SCRATCH","POISON STING","ALTHOUGH SMALL, ITS VENOMOUS BARBS RENDER THIS POKEMON DANGEROUS. THE FEMALE HAS SMALLER HORNS.","Name: 'Nidoran♀' → 'NIDORANS'. Bio: 'POKéMON' → 'POKEMON'. Strength: higher than evolved form."
"030","NIDORINA","0.8M","19.96KG","POISON PIN",6,"SCRATCH","POISON STING","TAIL WHIP","BITE","THE FEMALES HORN DEVELOPS SLOWLY. PREFERS PHYSICAL ATTACKS SUCH AS CLAWING AND BITING.","Bio: 'female's' → 'FEMALES'. Strength: lower than unevolved form."
"031","NIDOQUEEN","1.3M","59.88KG","DRILL",7,"SCRATCH","TAIL WHIP","POISON STING","BODY SLAM","ITS HARD SCALES PROVIDE STRONG PROTECTION. IT USES ITS HEFTY BULK TO EXECUTE POWERFUL MOVES.","-"
"032","NIDORAN..","0.5M","9.07Kg","POISON PIN",7,"GROWL","TACKLE","SCRATCH","POISON STING","STIFFENS ITS EARS TO SENSE DANGER. THE LARGER ITS HORNS, THE MORE POWERFUL ITS SECRETED VENOM.","Name: 'Nidoran♂' → 'NIDORAN..'."
"033","NIDORINO","0.9M","19.5KG","POISON PIN",7,"HORN ATTACK","POISON STING","FOCUS ENERGY","FURY ATTACK","AN AGGRESSIVE POKEMON THAT IS QUICK TO ATTACK. THE HORN ON ITS HEAD SECRETES A POWERFUL VENOM.","Bio: 'POKéMON' → 'POKEMON'."
"034","NIDOKING","1.4M","62.14KG","DRILL",9,"TACKLE","HORN ATTACK","POISON STING","THRASH","IT USES ITS POWERFUL TAIL IN BATTLE TO SMASH, CONSTRICT, THEN BREAK THE PREYS BONES.","Bio: 'prey's' → 'PREYS'."
"035","CLEFAIRY","0.6M","7.71KG","FAIRY",3,"POUND","GROWL","SING","DOUBLESLAP","ITS MAGICAL AND CUTE APPEAL HAS MANY ADMIRERS. IT IS RARE AND FOUND ONLY IN CERTAIN AREAS.","-"
"036","CLEFABLE","1.3M","39.92KG","FAIRY",4,"SING","DOUBLESLAP","MINIMIZE","METRONOME","A TIMID FAIRY POKEMON THAT IS RARELY SEEN. IT WILL RUN AND HIDE THE MOMENT IT SENSES PEOPLE.","Bio: 'POKéMON' → 'POKEMON'."
"037","VULPIX","0.6M","9.98KG","FOX",1,"EMBER","TAIL WHIP","QUICK ATTACK","ROAR","AT THE TIME OF BIRTH, IT HAS JUST ONE TAIL. THE TAIL SPLITS FROM ITS TIP AS IT GROWS OLDER.","-"
"038","NINETALES","1.1M","19.96KG","FOX",3,"EMBER","TAIL WHIP","QUICK ATTACK","ROAR","VERY SMART AND VERY VENGEFUL. GRABBING ONE OF ITS MANY TAILS COULD RESULT IN A 1,000-YEAR CURSE.","Bio: '1000' → '1,000'."
"039","JIGGLYPUFF","0.5M","5.44KG","BALLOON",4,"SING","POUND","DISABLE","DEFENSE CURL","WHEN ITS HUGE EYES LIGHT UP, IT SINGS A MYSTERIOUSLY SOOTHING MELODY THAT LULLS ITS ENEMIES TO SLEEP.","Strength: higher than evolved form."
"040","WIGGLYTUFF","1.0M","11.79KG","BALLOON",3,"SING","DISABLE","DEFENSE CURL","DOUBLESLAP","THE BODY IS SOFT AND RUBBERY. WHEN ANGERED, IT WILL SUCK IN AIR AND INFLATE ITSELF TO AN ENORMOUS SIZE.","Strength: lower than unevolved form."
"041","ZUBAT","0.8M","7.71KG","BAT",5,"LEECH LIFE","SUPERSONIC","BITE","CONFUSE RAY","FORMS COLONIES IN PERPETUALLY DARK PLACES. USES ULTRASONIC WAVES TO IDENTIFY AND APPROACH TARGETS.","Strength: higher than evolved form."
"042","GOLBAT","1.6M","54.89KG","BAT",4,"BITE","CONFUSE RAY","WING ATTACK","HAZE","ONCE IT STRIKES, IT WILL NOT STOP DRAINING ENERGY FROM THE VICTIM EVEN IF IT GETS TOO HEAVY TO FLY.","Strength: lower than unevolved form."
"043","ODDISH","0.5M","5.44KG","WEED",2,"ABSORB","POISONPOWDER","STUN SPORE","SLEEP POWDER","DURING THE DAY, IT KEEPS ITS FACE BURIED IN THE GROUND. AT NIGHT, IT WANDERS AROUND SOWING ITS SEEDS.","-"
"044","GLOOM","0.8M","8.62KG","WEED",6,"STUN SPORE","SLEEP POWDER","ACID","PETAL DANCE","THE FLUID THAT OOZES FROM ITS MOUTH ISN'T DROOL. IT IS A NECTAR THAT IS USED TO ATTRACT PREY.","Strength: higher than evolved form."
"045","VILEPLUME","1.2M","18.6KG","FLOWER",4,"SLEEP POWDER","ACID","PETAL DANCE","POISONPOWDER","THE LARGER ITS PETALS, THE MORE TOXIC POLLEN IT CONTAINS. ITS BIG HEAD IS HEAVY AND HARD TO HOLD UP.","Strength: lower than unevolved form."
"046","PARAS","0.3M","5.44KG","MUSHROOM",6,"SCRATCH","STUN SPORE","LEECH LIFE","SPORE","BURROWS TO SUCK TREE ROOTS. THE MUSHROOMS ON ITS BACK GROW BY DRAW-ING NUTRIENTS FROM THE BUG HOST.","Bio: 'DRAW-ING' directly copies R/B hyphenation (due to line break)."
"047","PARASECT","1.0M","29.48KG","MUSHROOM",8,"LEECH LIFE","SPORE","SLASH","GROWTH","A HOST-PARASITE PAIR IN WHICH THE PARASITE MUSHROOM HAS TAKEN OVER THE HOST BUG. PREFERS DAMP PLACES.","-"
"048","VENONAT","1.0M","29.94KG","INSECT",5,"TACKLE","DISABLE","POISONPOWDER","LEECH LIFE","LIVES IN THE SHADOWS OF TALL TREES WHERE IT EATS INSECTS. IT IS ATTRACTED BY LIGHT AT NIGHT.","-"
"049","VENOMOTH","1.5M","12.7KG","POISONMOTH",6,"STUN SPORE","SLEEP POWDER","SLAM","GROWTH","THE DUST-LIKE SCALES COVERING ITS WINGS ARE COLOR CODED TO INDICATE THE KINDS OF POISON IT HAS.","-"
"050","DIGLETT","0.2M","0.91KG","MOLE",3,"SCRATCH","GROWL","DIG","SAND-ATTACK","LIVES ABOUT ONE YARD UNDERGROUND WHERE IT FEEDS ON PLANT ROOTS. IT SOMETIMES APPEARS ABOVE GROUND.","-"
"051","DUGTRIO","0.7M","33.11KG","MOLE",6,"DIG","SAND-ATTACK","SLASH","EARTHQUAKE","A TEAM OF DIGLETT TRIPLETS. IT TRIGGERS HUGE EARTHQUAKES BY BURROWING 60 MILES UNDERGROUND.","-"
"052","MEOWTH","0.4M","4.08KG","SCRATCH CA",8,"SCRATCH","GROWL","BITE","PAY DAY","ADORES CIRCULAR OBJECTS. WANDERS THE STREETS ON A NIGHTLY BASIS TO LOOK FOR DROPPED LOOSE CHANGE.","Type: Trunctated 'CA(T)'. Strength: higher than evolved form."
"053","PERSIAN","1.0M","32.21KG","CLASSY CAT",7,"PAY DAY","SCREECH","FURY SWIPES","SLASH","ALTHOUGH ITS FUR HAS MANY ADMIRERS, IT IS TOUGH TO RAISE AS A PET BECAUSE OF ITS FICKLE MEANNESS.","Strength: lower than unevolved form."
"054","PSYDUCK","0.8M","19.5KG","DUCK",4,"SCRATCH","TAIL WHIP","DISABLE","CONFUSION","WHILE LULLING ITS ENEMIES WITH ITS VACANT LOOK, THIS WILY POKEMON WILL USE PSYCHOKINETIC POWERS.","Bio: 'POKéMON' → 'POKEMON'."
"055","GOLDUCK","1.7M","76.66KG","DUCK",5,"DISABLE","CONFUSION","FURY SWIPES","-","OFTEN SEEN SWIMMING ELEGANTLY BY LAKE SHORES. IT IS OFTEN MISTAKEN FOR THE JAPANESE MONSTER, KAPPA. ",
"056","MANKEY",,,,,,,,,,
"057","PRIMEAPE",,,,,,,,,,
"058","GROWLITHE",,,,,,,,,,
"059","ARCANINE",,,,,,,,,,
"060","POLIWAG",,,,,,,,,,
"061","POLIWHIRL",,,,,,,,,,
"062","POLIWRATH",,,,,,,,,,
"063","ABRA",,,,,,,,,,
"064","KADABRA",,,,,,,,,,
"065","ALAKAZAM",,,,,,,,,,
"066","MACHOP",,,,,,,,,,
"067","MACHOKE",,,,,,,,,,
"068","MACHAMP",,,,,,,,,,
"069","BELLSPROUT",,,,,,,,,,
"070","WEEPINBELL",,,,,,,,,,
"071","VICTREEBEL",,,,,,,,,,
"072","TENTACOOL",,,,,,,,,,
"073","TENTACRUEL",,,,,,,,,,
"074","GEODUDE",,,,,,,,,,
"075","GRAVELER",,,,,,,,,,
"076","GOLEM",,,,,,,,,,
"077","PONYTA",,,,,,,,,,
"078","RAPIDASH",,,,,,,,,,
"079","SLOWPOKE",,,,,,,,,,
"080","SLOWBRO",,,,,,,,,,
"081","MAGNEMITE",,,,,,,,,,
"082","MAGNETON",,,,,,,,,,
"083","FARFETCHD",,,,,,,,,,
"084","DODUO",,,,,,,,,,
"085","DODRIO",,,,,,,,,,
"086","SEEL",,,,,,,,,,
"087","DEWGONG",,,,,,,,,,
"088","GRIMER",,,,,,,,,,
"089","MUK",,,,,,,,,,
"090","SHELLDER",,,,,,,,,,
"091","CLOYSTER",,,,,,,,,,
"092","GASTLY",,,,,,,,,,
"093","HAUNTER",,,,,,,,,,
"094","GENGAR",,,,,,,,,,
"095","ONIX",,,,,,,,,,
"096","DROWZEE",,,,,,,,,,
"097","HYPNO",,,,,,,,,,
"098","KRABBY",,,,,,,,,,
"099","KINGLER",,,,,,,,,,
"100","VOLTORB",,,,,,,,,,
"101","ELECTRODE",,,,,,,,,,
"102","EXEGGCUTE",,,,,,,,,,
"103","EXEGGUTOR",,,,,,,,,,
"104","CUBONE",,,,,,,,,,
"105","MAROWAK",,,,,,,,,,
"106","HITMONLEE",,,,,,,,,,
"107","HITMONCHAN",,,,,,,,,,
"108","LICKITUNG",,,,,,,,,,
"109","KOFFING",,,,,,,,,,
"110","WEEZING",,,,,,,,,,
"111","RHYHORN",,,,,,,,,,
"112","RHYDON",,,,,,,,,,
"113","CHANSEY",,,,,,,,,,
"114","TANGELA",,,,,,,,,,
"115","KANGASKHAN",,,,,,,,,,
"116","HORSEA",,,,,,,,,,
"117","SEADRA",,,,,,,,,,
"118","GOLDEEN",,,,,,,,,,
"119","SEAKING",,,,,,,,,,
"120","STARYU",,,,,,,,,,
"121","STARMIE",,,,,,,,,,
"122","MR. MIME",,,,,,,,,,
"123","SCYTHER",,,,,,,,,,
"124","JYNX",,,,,,,,,,
"125","ELECTABUZZ",,,,,,,,,,
"126","MAGMAR",,,,,,,,,,
"127","PINSIR",,,,,,,,,,
"128","TAUROS",,,,,,,,,,
"129","MAGIKARP",,,,,,,,,,
"130","GYARADOS",,,,,,,,,,
"131","LAPRAS",,,,,,,,,,
"132","DITTO",,,,,,,,,,
"133","EEVEE",,,,,,,,,,
"134","VAPOREON",,,,,,,,,,
"135","JOLTEON",,,,,,,,,,
"136","FLAREON",,,,,,,,,,
"137","PORYGON",,,,,,,,,,
"138","OMANYTE",,,,,,,,,,
"139","OMASTAR",,,,,,,,,,
"140","KABUTO",,,,,,,,,,
"141","KABUTOPS",,,,,,,,,,
"142","AERODACTYL",,,,,,,,,,
"143","SNORLAX",,,,,,,,,,
"144","ARTICUNO",,,,,,,,,,
"145","ZAPDOS",,,,,,,,,,
"146","MOLTRES",,,,,,,,,,
"147","DRATINI",,,,,,,,,,
"148","DRAGONAIR",,,,,,,,,,
"149","DRAGONITE",,,,,,,,,,
"150","MEWTWO",,,,,,,,,,
